asin,duplicate,high_volume,long,short
B00NG57H4S,0,0,8,7
B00QHOCTG6,2,0,5,6
B01LDVQIF0,1,0,2,11
B07K2676W7,2,0,2,11
B07Z8J429C,1,0,8,6
B083P1HG9S,4,0,4,14
B085899TQ9,3,0,8,16
B0863TXGM3,4,0,28,11
B087JWTWF9,3,0,4,16
B08B477BHS,1,0,20,9
B08HMWZBXC,7,0,28,15
B08TMTFR6B,6,0,14,19
B094NC89P9,6,0,7,14
B09NBVS84T,1,0,17,5
B09S8XP2J2,0,0,14,9
B09XS7JWHH,0,0,24,4
B0B5VHRX7F,2,0,19,9
B0B75MQJQR,3,0,8,6
B0B7WKH98S,4,0,15,17
B0BH4KKZB4,0,0,5,15
B0BJSFSNKT,2,0,4,8
B0BS1QCFHX,1,0,9,11
B0BTJ9WHL9,3,0,4,11
B0BVRJXH27,1,0,10,9
B0C3HCD34R,6,0,13,26
B0C6KFZC9Z,2,0,19,8
B0C8PSMPTH,3,0,20,17
B0CBLKS51N,2,0,11,11
B0CBLLJTTN,6,0,8,10
B0CD1FHLMH,3,0,11,16
B0CGMV5TMR,9,0,7,17
B0CMFXR4W5,0,0,0,2
B0CQKMWNHQ,4,0,10,12
B0CRRRFZN5,0,0,1,3
B0CRTYZG5C,12,210,28,31
B0CT6C579K,1,0,16,5
B0CT9SBWC9,1,0,5,13
B0CTB1BM3P,5,0,9,9
B0CVX9PSL9,0,0,16,2
B0CZPGX972,5,11,5,21
B0D2D75VNY,3,0,4,7
B0D4Z9C562,3,0,23,9
B0D4ZC4XMT,2,0,31,5
B0D5Y2SG6P,7,0,3,30
B0DCN52TQH,9,0,1,22
B0DFYFW1HW,1,0,17,4
B0DHX142GP,3,0,10,10
B0DJW5G283,7,0,7,16
B0DLKB5V35,8,227,29,31
B0DMP36MVC,12,0,2,35
B0DP8WJ5BN,1,0,15,1
B0DPK22VCQ,5,0,5,7
B0DWX8YBKK,2,0,13,1
B0DZHC7YSY,6,0,7,14
B0F21S7DT5,0,0,15,2
B0FHWF8GC5,0,0,13,1
B0FJ8RXV1K,1,0,3,4
