asin,n_reviews,promoter_pct,passive_pct,detractor_pct,nps
B0FJ8RXV1K,108,100.0,0.0,0.0,100.0
B0F21S7DT5,138,92.02898550724638,0.7246376811594203,7.246376811594203,84.78260869565217
B0DZHC7YSY,81,88.88888888888889,6.172839506172839,4.938271604938271,83.95061728395062
B0DCN52TQH,104,79.8076923076923,8.653846153846153,11.538461538461538,68.26923076923077
B0DJW5G283,102,75.49019607843137,9.803921568627452,14.705882352941178,60.78431372549019
B0D5Y2SG6P,124,72.58064516129032,15.32258064516129,12.096774193548388,60.483870967741936
B0CMFXR4W5,15,66.66666666666666,26.666666666666668,6.666666666666667,59.99999999999999
B0DP8WJ5BN,28,64.28571428571429,28.57142857142857,7.142857142857142,57.14285714285715
B0DMP36MVC,140,72.85714285714285,11.428571428571429,15.714285714285714,57.14285714285713
B0DFYFW1HW,103,73.7864077669903,8.737864077669903,17.475728155339805,56.310679611650485
B0C3HCD34R,190,70.0,12.105263157894736,17.894736842105264,52.10526315789474
B08TMTFR6B,112,68.75,12.5,18.75,50.0
B0CVX9PSL9,50,66.0,18.0,16.0,50.0
B0FHWF8GC5,45,73.33333333333333,2.2222222222222223,24.444444444444443,48.888888888888886
B0D2D75VNY,83,66.26506024096386,14.457831325301203,19.27710843373494,46.987951807228924
B0CBLLJTTN,101,66.33663366336634,13.861386138613863,19.801980198019802,46.53465346534654
B0CD1FHLMH,108,68.51851851851852,8.333333333333332,23.14814814814815,45.37037037037037
B0CT6C579K,107,66.35514018691589,11.214953271028037,22.429906542056074,43.925233644859816
B0BJSFSNKT,104,68.26923076923077,5.769230769230769,25.961538461538463,42.30769230769231
B0DLKB5V35,274,65.32846715328468,11.313868613138686,23.357664233576642,41.970802919708035
B0C6KFZC9Z,124,64.51612903225806,12.096774193548388,23.387096774193548,41.12903225806451
B0DPK22VCQ,50,57.99999999999999,24.0,18.0,39.99999999999999
B0DHX142GP,103,59.22330097087378,18.446601941747574,22.330097087378643,36.89320388349513
B0CT9SBWC9,107,65.42056074766354,5.607476635514018,28.971962616822427,36.44859813084112
B0DWX8YBKK,36,55.55555555555556,25.0,19.444444444444446,36.111111111111114
B0CQKMWNHQ,101,60.396039603960396,11.881188118811881,27.722772277227726,32.67326732673267
B0B7WKH98S,109,60.550458715596335,11.009174311926607,28.440366972477065,32.11009174311927
B0CGMV5TMR,119,58.82352941176471,12.605042016806722,28.57142857142857,30.25210084033614
B0CRTYZG5C,288,57.638888888888886,12.152777777777777,30.208333333333332,27.430555555555554
B09S8XP2J2,102,55.88235294117647,13.725490196078432,30.392156862745097,25.490196078431374
B094NC89P9,106,57.54716981132076,10.377358490566039,32.075471698113205,25.47169811320755
B07K2676W7,100,53.0,18.0,28.999999999999996,24.000000000000004
B0CZPGX972,183,56.830601092896174,9.289617486338798,33.87978142076503,22.950819672131146
B08HMWZBXC,162,54.93827160493827,12.345679012345679,32.71604938271605,22.22222222222222
B0BVRJXH27,110,56.36363636363636,9.090909090909092,34.54545454545455,21.818181818181813
B0BTJ9WHL9,101,54.45544554455446,11.881188118811881,33.663366336633665,20.792079207920793
B0CBLKS51N,122,51.63934426229508,17.21311475409836,31.147540983606557,20.491803278688526
B0D4Z9C562,164,56.70731707317073,5.487804878048781,37.80487804878049,18.90243902439024
B08B477BHS,103,49.51456310679612,18.446601941747574,32.038834951456316,17.4757281553398
B0CRRRFZN5,23,56.52173913043478,4.3478260869565215,39.130434782608695,17.391304347826086
B0863TXGM3,144,52.083333333333336,10.416666666666668,37.5,14.583333333333336
B0BS1QCFHX,136,52.20588235294118,9.558823529411764,38.23529411764706,13.970588235294123
B0CTB1BM3P,113,48.67256637168141,15.04424778761062,36.283185840707965,12.389380530973447
B00QHOCTG6,101,50.495049504950494,8.91089108910891,40.5940594059406,9.900990099009896
B0B75MQJQR,107,45.794392523364486,16.822429906542055,37.38317757009346,8.411214953271028
B0B5VHRX7F,118,47.45762711864407,11.864406779661017,40.67796610169492,6.779661016949149
B087JWTWF9,113,45.13274336283185,14.15929203539823,40.707964601769916,4.424778761061937
B083P1HG9S,118,46.61016949152542,11.016949152542372,42.3728813559322,4.237288135593218
B0BH4KKZB4,108,47.22222222222222,8.333333333333332,44.44444444444444,2.7777777777777786
B0C8PSMPTH,177,48.0225988700565,6.214689265536723,45.76271186440678,2.2598870056497162
B01LDVQIF0,101,47.524752475247524,5.9405940594059405,46.53465346534654,0.9900990099009874
B07Z8J429C,101,46.53465346534654,4.9504950495049505,48.51485148514851,-1.9801980198019749
B00NG57H4S,102,39.21568627450981,15.686274509803921,45.09803921568628,-5.882352941176471
B0D4ZC4XMT,112,38.392857142857146,4.464285714285714,57.14285714285714,-18.749999999999993
B085899TQ9,108,35.18518518518518,9.25925925925926,55.55555555555556,-20.370370370370374
B09XS7JWHH,115,32.17391304347826,10.434782608695652,57.391304347826086,-25.217391304347828
B09NBVS84T,109,22.93577981651376,12.844036697247708,64.22018348623854,-41.28440366972478
